,gameid,roundNum,occurrenceNum,intendedName,contents,correct,maxtime,mintime,time,char_count,word_count,exchanges,prev,same_round_random_player,jaccard_with_prev_occ,jaccard_with_random
43,00be8a english_10,44,4,D,facing the left,1.0,1609815121792,1609815121792,0,15,3,1,facing the left,,1.0,0.0
44,00be8a english_10,45,4,C,yelling at someone below them,1.0,1609815162914,1609815162914,0,29,5,1,person yelling down to someone facing the left,,0.18181818181818182,0.0
45,00be8a english_10,46,4,K,on knees facing right,0.0,1609815202123,1609815202123,0,21,4,1,person on their knees facing the right,,0.5714285714285714,0.0
46,00be8a english_10,47,4,L,facing right,1.0,1609815256064,1609815256064,0,12,2,1,person holding a book facing the right,,0.2857142857142857,0.0
47,00be8a english_10,48,4,I,deadlift person,1.0,1609815293352,1609815293352,0,15,2,1,deadlift person facing the left,,0.4,0.0
48,00be8a english_10,49,5,A,dino head,1.0,1609815329272,1609815329272,0,9,2,1,dino head,,1.0,0.0
49,00be8a english_10,50,5,D,facing left,1.0,1609815366694,1609815366694,0,11,2,1,facing the left,,0.6666666666666666,0.0
50,00be8a english_10,51,5,F,slumping against wall facing the left,1.0,1609815419580,1609815419580,0,37,6,1,slumping against the wall facing the left,,1.0,0.0
51,00be8a english_10,52,5,C,yelling down to someone towards the left,1.0,1609815459133,1609815459133,0,40,7,1,yelling at someone below them,,0.2,0.0
52,00be8a english_10,53,5,I,deadlift person,1.0,1609815477416,1609815477416,0,15,2,1,deadlift person,,1.0,0.0
53,00be8a english_10,54,5,J,nondescript shape,1.0,1609815510926,1609815510926,0,17,2,1,nondescript shape,,1.0,0.0
54,00be8a english_10,55,5,L,facing right,1.0,1609815551893,1609815551893,0,12,2,1,facing right,,1.0,0.0
55,00be8a english_10,56,5,K,facing right,1.0,1609815605217,1609815605217,0,12,2,1,on knees facing right,,0.5,0.0
56,00be8a english_10,57,5,B,on knees facing the right,1.0,1609815651917,1609815651917,0,25,5,1,on knees facing the right,,1.0,0.0
57,00be8a english_10,58,5,G,falling to the right,1.0,1609815681494,1609815681494,0,20,4,1,falling towards the right,,0.6,0.0
58,00be8a english_10,59,5,H,nondescript shape,1.0,1609815721639,1609815721639,0,17,2,1,nondescript shape,,1.0,0.0
59,00be8a english_10,60,5,E,rabbit slumping against wall facing the right,1.0,1609815763176,1609815763176,0,45,7,1,rabbit slumping against wall facing the right,,1.0,0.0
60,00be8a english_10,61,6,L,facing right,1.0,1609815811385,1609815811385,0,12,2,1,facing right,,1.0,0.0
61,00be8a english_10,62,6,G,falling to the right,1.0,1609815851355,1609815851355,0,20,4,1,falling to the right,,1.0,0.0
62,00be8a english_10,63,6,B,on knees facing right,1.0,1609815889898,1609815889898,0,21,4,1,on knees facing the right,,0.8,0.0
63,00be8a english_10,64,6,H,nondescript shape,1.0,1609815936415,1609815936415,0,17,2,1,nondescript shape,,1.0,0.0
64,00be8a english_10,65,6,D,facing left,1.0,1609815964279,1609815964279,0,11,2,1,facing left,,1.0,0.0
65,00be8a english_10,66,6,J,nondescript shape,1.0,1609815991620,1609815991620,0,17,2,1,nondescript shape,,1.0,0.0
66,00be8a english_10,67,6,C,yelling down to the left,1.0,1609816013550,1609816013550,0,24,5,1,yelling down to someone towards the left,,0.7142857142857143,0.0
67,00be8a english_10,68,6,E,rabbit slouching facing right,1.0,1609816025996,1609816025996,0,29,4,1,rabbit slumping against wall facing the right,,0.375,0.0
68,00be8a english_10,69,6,A,dino head,1.0,1609816046844,1609816046844,0,9,2,1,dino head,,1.0,0.0
69,00be8a english_10,70,6,F,slouching facing left,1.0,1609816083122,1609816083122,0,21,3,1,slumping against wall facing the left,,0.2857142857142857,0.0
70,00be8a english_10,71,6,I,deadlift person,1.0,1609816101501,1609816101501,0,15,2,1,deadlift person,,1.0,0.0
71,00be8a english_10,72,6,K,facing right on knees,1.0,1609816126803,1609816126803,0,21,4,1,facing right,,0.5,0.0
72,04fb8c english_26,1,1,A,"Hi! Ready to start? / im ready. so I just describe the object? / yep! / the object looks like it is lifting a ""leg"" / lifting a leg like in a ballerina pose back or like it's kicking something forward? / like it's kicking something forward / And it's looking down / yeah a wing thing sticking out with it's ""head"" down",1.0,1610418191052,1610418000539,190513,318,63,8,,the one that is facing the left with a leg kicking out forward / kind of looks like a dino head and little wings / does it look liek it is lying down with a leg forward? / no,0.0,0.23728813559322035
73,04fb8c english_26,2,1,I,"Alright / this new object has a ballerina pose with it's ""hands"" sticking out front / with the leg extended back? / yes with the leg extended back",1.0,1610418299128,1610418212024,87104,146,28,4,,looks like it's doing a deadlift on one leg lol,0.0,0.10714285714285714
74,04fb8c english_26,3,1,E,this new object looks like its sitting down and it has two things sticking out of it's head / like a bunny sitting and leaning against a wall? / yeah like a bunny that is leaning against the wall,1.0,1610418413546,1610418363340,50206,195,39,3,,looks like a rabbit slumping against the wall facing the right,0.0,0.18181818181818182
75,04fb8c english_26,4,1,L,"this object looks like its someone bringing you a bowl filled with water or something heavy because the ""knees"" are bent / That's a good description / thank you",1.0,1610418527090,1610418492922,34168,160,29,3,,facing the right,0.0,0.03571428571428571
76,04fb8c english_26,5,1,G,"this new object looks like the bunny is now leaning against a rock that is on the ground or something / Hmm this one's a little difficult. Is it's square ""head"" cocked to the left or more toward the right? / the head looks like it has a big nose facing towards the left side / and the square head is kind of stuck in a space between a triangle and the main body? / hmmm / the arm that is hanging over is also a triangle / does that help? / the ""feet"" part would be towards the left side and the one arm on the right and it's ""nose"" on the face is facing the left side / Is the shape for the ""feet"" a quadrilateral? On the floor to the left? / yeah / Oh",1.0,1610419107184,1610418587355,519829,652,138,11,,the one that looks like it's about to fall on its face to the right. Arms are stretched out forward and it looks like it fells onto its knees first,0.0,0.12643678160919541
77,04fb8c english_26,6,1,J,"this object looks like a hefty toddler with a very flat back / extending arms towards the right side / toes"" or tip of shoes towards the right as well
english_26,1610419308614,6,1,matcher,J,40909,Does it have a solid mass with a single, distinguishable shape on top? Like, you can't make out any shapes within the bottom part 
english_26,1610419327868,6,1,director,J,49403,yes, and the back and shoulders make a 90 degree angle
english_26,1610419365423,7,1,director,C,10086,this one looks like its flying
english_26,1610419375282,7,1,director,C,9151,both arms spread out
english_26,1610419402795,7,1,matcher,C,21594,Is it like.~~~~~~ a ""raise the roof"" kind of pose? Like Atlas holding the world on his shoulders?
english_26,1610419418162,7,1,director,C,3850,yeah like that
english_26,1610419519544,8,1,director,H,69201,this one was the one you picked when i was describing the hefty toddler one, looks like the silhouette of an old person, someone wise
english_26,1610419553945,8,1,matcher,H,11425,In hindsight, I see what you meant by a hefty toddler
english_26,1610419596889,9,1,director,D,48027,this one is also handing you a bowl or plate of something, its handing it to you towards the left side
english_26,1610419634788,9,1,matcher,D,15778,Like holding a hat
english_26,1610419644566,9,1,matcher,D,3056,a top hat?
english_26,1610419648722,9,1,director,D,19111,toes pointed towards the left side
english_26,1610419653846,9,1,director,D,4795,yeah a top hat
english_26,1610419660868,9,1,director,D,6617,or someone with a robe or something
english_26,1610419675122,9,1,matcher,D,11137,I think it looks like a magician lol
english_26,1610419709574,10,1,director,B,12676,this one looks like phineas from phineas and ferb
english_26,1610419719571,10,1,director,B,7625,with bunny ears
english_26,1610419741924,10,1,matcher,B,3616,facing left?
english_26,1610419745211,10,1,director,B,513,yes
english_26,1610419811038,11,1,director,F,39053,this one is like a person sitting on the ground leaning their back against a wall with their knees bent and toes facing upwards
english_26,1610419885439,12,1,director,K,47340,this one is serving you a plate as well and walking towards the right side, but their robe or dress has this triangle thing on the back of it
english_26,1610419922646,12,1,matcher,K,13257,the triangle is flat against the right side and facing upward?
english_26,1610419934854,12,1,director,K,2566,yeah
english_26,1610419967795,13,2,director,E,13972,bunny ears leaning against a wall
english_26,1610419976552,13,2,director,E,7949,whole body is a right angle triangle
english_26,1610419995216,13,2,director,E,17329,with a smaller triangle shape combined to be it's legs
english_26,1610420018967,14,2,director,H,6294,the wise old person from earlier
english_26,1610420071885,15,2,director,G,43106,the one we had lots of trouble with that has bunny ears and looks like its laying on the ground with its arm over something or just extended out
english_26,1610420090782,15,2,matcher,G,5264,trapezoid shape?
english_26,1610420111627,15,2,director,G,17790,ah yes that one, i forgot about that
english_26,1610420171509,16,2,director,K,10542,did you get my email? i sent it in the zoom chat to you
english_26,1610420195474,16,2,matcher,K,13354,oh I just saw it. I'll save it
english_26,1610420210402,16,2,director,K,12248,ok see if you can create a google doc or something
english_26,1610420260873,16,2,director,K,23998,this new shape is the one with the right angle triangle in the bottom of the robe or dress
english_26,1610420286043,16,2,matcher,K,2712,pointing up?
english_26,1610420314063,16,2,director,K,16511,yeah, lets call it pointing up triangle dress
english_26,1610420384823,17,2,director,F,32256,knees bent, toes pointed up, lsitting on floor leaning against the wall head facing down
english_26,1610420411219,18,2,director,C,11608,the lifting the world one
english_26,1610420434669,19,2,director,A,10962,wing one with legs kicking forward
english_26,1610420473404,20,2,director,I,13201,ballerina one
english_26,1610420494849,21,2,director,L,13101,knees bent carrying something heavy
english_26,1610420508816,22,2,director,J,2437,hefty toddler
english_26,1610420518367,23,2,director,B,2210,phineas
english_26,1610420538562,24,2,director,D,1480,top hat
english_26,1610420547861,25,3,director,I,1585,ballerina
english_26,1610420559297,26,3,director,J,2310,hefty toddler
english_26,1610420594470,27,3,director,F,17721,knees bent, toes up one, lets call it reading a book on the floor
english_26,1610420628861,28,3,director,A,1353,wing one
english_26,1610420649173,29,3,director,K,3279,triangle dress
english_26,1610420675420,30,3,director,E,10408,right angle body with bunny ears on the floor
english_26,1610420701103,30,3,matcher,E,10704,Not the one hanging over a rock?
english_26,1610420709815,30,3,director,E,9481,two tringle ears
english_26,1610420721675,31,3,director,B,10500,no no that one
english_26,1610420733837,31,3,director,B,8185,it glitched 
english_26,1610420742524,31,3,director,B,6934,this new one is phineas
english_26,1610420755534,31,3,matcher,B,7729,the previous one glitched?
english_26,1610420772409,31,3,director,B,13574,yeah for me idk it was weird
english_26,1610420785530,31,3,director,B,7241,this one is the phineas one though
english_26,1610420799830,32,3,director,H,4391,wise old person
english_26,1610420819078,33,3,director,G,1841,rock one
english_26,1610420840769,34,3,director,L,5569,knees bent heavy object
english_26,1610420850697,35,3,director,D,1408,top hat
english_26,1610420864156,36,3,director,C,2777,carrying the world
english_26,1610420877195,37,4,director,F,4348,reading on the ground
english_26,1610420897831,38,4,director,J,7136,hefty
english_26,1610420913891,38,4,director,J,1824,toddler
english_26,1610420916934,38,4,matcher,J,6545,lol I can't get over that description
english_26,1610420929966,39,4,director,B,4797,it works lol
english_26,1610420935906,39,4,director,B,3364,this one is phineas
english_26,1610420949278,40,4,director,H,5087,wise old person
english_26,1610420960738,41,4,director,L,4402,heavy, knees bent
english_26,1610420973291,42,4,director,I,1828,ballerina
english_26,1610420983047,43,4,director,G,994,rock
english_26,1610420997436,44,4,director,D,1408,top hat
english_26,1610421010296,45,4,director,K,2526,triangle dress
english_26,1610421029085,46,4,director,C,6954,carrying the world
english_26,1610421046458,47,4,director,E,6405,right angle body, with ears
english_26,1610421062463,48,4,director,A,936,wing
english_26,1610421074947,49,5,director,A,1808,wing again
english_26,1610421085727,50,5,director,D,1343,top hat
english_26,1610421096988,51,5,director,H,3467,wise old person
english_26,1610421105677,52,5,director,I,1665,ballerina
english_26,1610421114005,53,5,director,L,1498,heavy
english_26,1610421130291,54,5,director,B,1550,phineas
english_26,1610421145318,55,5,director,K,2887,triangle dress
english_26,1610421156530,56,5,director,F,3221,reading
english_26,1610421164711,57,5,director,J,1231,hefty
english_26,1610421179721,58,5,director,C,3740,carrying the world
english_26,1610421187774,59,5,director,G,817,rock
english_26,1610421213037,60,5,director,E,8652,right angle triangle body
english_26,1610421228321,61,6,director,E,3315,same one again
english_26,1610421238535,62,6,director,H,2314,wise old person
english_26,1610421247236,63,6,director,D,1327,top hat
english_26,1610421256887,64,6,director,J,1785,hefty
english_26,1610421266508,65,6,director,I,1345,ballerina
english_26,1610421277513,66,6,director,C,2953,carrying the world
english_26,1610421287431,67,6,director,L,1402,heavy
english_26,1610421299498,68,6,director,G,775,rock
english_26,1610421308673,69,6,director,A,809,wing
english_26,1610421318168,70,6,director,K,2196,triangle dress
english_26,1610421327276,71,6,director,F,1277,reading
english_26,1610421343094,72,6,director,B,5108,phineas and ferb ayyy
english_26,1610421351980,72,6,matcher,B,1335,lol
",0.0,1610419236032,1610419195420,40612,7915,603,3,,the one that has a flat left side,0.0,0.026490066225165563
78,07678d otherlang_39999,1,1,I,Hi nice!,0.0,1609791249622,1609791249622,0,8,2,1,,"Alright / this new object has a ballerina pose with it's ""hands"" sticking out front / with the leg extended back? / yes with the leg extended back",0.0,0.0
79,07678d otherlang_39999,2,1,D,hi again / hi,0.0,1609791278393,1609791266040,12353,13,4,2,,the figure that looks like their standing with a straight posture facing the left with a book in their hands / they're* haah,0.0,0.047619047619047616
80,07678d otherlang_39999,3,1,F,Rabbit at Rest,0.0,1609791290934,1609791290934,0,14,3,1,,the one that looks like it's lying against a wall,0.0,0.0
81,07678d otherlang_39999,4,1,A,Laughing so hard your head tilts back,0.0,1609791330073,1609791330073,0,37,7,1,,"Hi! Ready to start? / im ready. so I just describe the object? / yep! / the object looks like it is lifting a ""leg"" / lifting a leg like in a ballerina pose back or like it's kicking something forward? / like it's kicking something forward / And it's looking down / yeah a wing thing sticking out with it's ""head"" down",0.0,0.041666666666666664
82,186a64 spanish_1,1,1,K,hola. estas lista? cual es? / escoge la imagen que parece que tiene un triangulo alto al lado esquierdo / el que parece como un conejo sentado? / no puedo ver el conejo / pero el triangulo empieza desde abajo / y al lado derecho de la imagen se mira como un triangulo blanco / ok. creo que se cual~~~ lo tratare,1.0,1609810026485,1609809802105,224380,311,62,7,,another one that looks like it's praying facing the right. straight posture,0.0,0.0
83,186a64 spanish_1,2,1,B,lista / si / puedes empezar / ahora la imagen es la que tiene un cuadro arriba que esta en el centro y en al lado derrecho ay un triangulo / el triagngulo come que le pega al cuadro y al otro triangulo del lado izquierdo / tiene dos triangulos arriba del cuadro? / no el cuadro esta arriba y los triangulos abajo / o un cuadro arriba y un triangulo completo a la derecha? / si y lluego otro triangulo a las izquierda que se junta con otra forma / ok. tratare,1.0,1609810232328,1609810041095,191233,458,93,10,,the figure which looks like a person praying on their knees with their arms held outwards,0.0,0.015384615384615385
84,186a64 spanish_1,3,1,I,bien. estoy lista / esta imagen parese que esta parrado en un pie / y tiene el otro pie en ell arrie y sus dos manos adelante / ok. tratare,1.0,1609810308032,1609810244544,63488,139,30,4,,Hi nice!,0.0,0.0
85,186a64 spanish_1,4,1,G,muy bien! / esta imagen tiene un rectangulo que se forma con un cuadro / parece como que una persona esta sentada y tiene sus manos estirandolas atras / no entiendo la primera parte. no veo un rectangulo junto con un cuadro / y la segunda parte si puedes entender. como que no pude esplicar bien con las formas / tiene dos rectangulos al lado derecho que para mi se mirran como manos / puedo ver 3 que podrian ser / espera mientras que miro / esta bien / veo uno que parece tener las manos para arriba y su cabeza es un cuadro. ese no verdad? / no ese no / y las manos de la imagen tienen una pocission hacia abajo pero del lado derecho / no tengo idea / el cuadro esta arriba y abajo hay como una forma de rectangulo y al lado derecho de esa forma estan dos triangulos,1.0,1609810878951,1609810320496,558455,769,154,14,,"this new object looks like the bunny is now leaning against a rock that is on the ground or something / Hmm this one's a little difficult. Is it's square ""head"" cocked to the left or more toward the right? / the head looks like it has a big nose facing towards the left side / and the square head is kind of stuck in a space between a triangle and the main body? / hmmm / the arm that is hanging over is also a triangle / does that help? / the ""feet"" part would be towards the left side and the one arm on the right and it's ""nose"" on the face is facing the left side / Is the shape for the ""feet"" a quadrilateral? On the floor to the left? / yeah / Oh",0.0,0.006578947368421052
86,186a64 spanish_1,5,1,C,dificil pero bien / esta imagen parece una persona con dos manos arriba / y la cabeza es un cuadro en medio? / si,1.0,1609810943327,1609810912074,31253,113,24,4,,facing the left,0.0,0.0
87,186a64 spanish_1,6,1,F,muy bien! / si! / esta imagen parece una persona sentada con sus pies al lado izquierdo / como de lado y viendo para abajo? / si cabeza esta mirando hacia el lado izquierdo,1.0,1609811026265,1609810952337,73928,172,34,5,,Rabbit at Rest,0.0,0.0
